municipio_codigo;municipio_nombre;distrito_codigo;distrito_nombre;barrio_codigo;barrio_nombre;sexo;rango_edad;poblacion_empadronada
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 85 a 89 años;74
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 90 a 94 años;22
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 95 a 99 años;11
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 0 a 4 años;143
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 10 a 14 años;102
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 100 y más años;3
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 15 a 19 años;111
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 20 a 24 años;255
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 25 a 29 años;470
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 30 a 34 años;591
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 35 a 39 años;502
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 40 a 44 años;469
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 45 a 49 años;412
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 5 a 9 años;104
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 50 a 54 años;421
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 55 a 59 años;342
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 60 a 64 años;319
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 65 a 69 años;260
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 70 a 74 años;203
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 75 a 79 años;162
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 80 a 84 años;178
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 85 a 89 años;135
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 90 a 94 años;84
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 95 a 99 años;28
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 0 a 4 años;274
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 10 a 14 años;217
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 100 y más años;3
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 15 a 19 años;242
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 20 a 24 años;323
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 25 a 29 años;675
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 30 a 34 años;920
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 35 a 39 años;964
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 40 a 44 años;865
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 45 a 49 años;793
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 5 a 9 años;203
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 50 a 54 años;676
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 55 a 59 años;569
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 60 a 64 años;409
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 65 a 69 años;319
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 70 a 74 años;236
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 75 a 79 años;179
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 80 a 84 años;134
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 85 a 89 años;103
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 90 a 94 años;39
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 95 a 99 años;10
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 0 a 4 años;272
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 10 a 14 años;215
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 100 y más años;7
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 15 a 19 años;215
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 20 a 24 años;356
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 25 a 29 años;683
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 30 a 34 años;859
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 35 a 39 años;841
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 40 a 44 años;705
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 45 a 49 años;603
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 5 a 9 años;214
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 50 a 54 años;623
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 55 a 59 años;508
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 60 a 64 años;464
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 65 a 69 años;366
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 70 a 74 años;352
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 75 a 79 años;276
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 80 a 84 años;301
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 85 a 89 años;225
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 90 a 94 años;123
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 95 a 99 años;39
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 0 a 4 años;442
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 10 a 14 años;373
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 100 y más años;2
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 15 a 19 años;349
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 20 a 24 años;675
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 25 a 29 años;1334
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 30 a 34 años;1778
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 35 a 39 años;1837
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 40 a 44 años;1629
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 45 a 49 años;1331
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 5 a 9 años;422
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 50 a 54 años;1164
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 55 a 59 años;927
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 60 a 64 años;723
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 65 a 69 años;605
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 70 a 74 años;421
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 75 a 79 años;300
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 80 a 84 años;262
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 85 a 89 años;208
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 90 a 94 años;64
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 95 a 99 años;17
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 0 a 4 años;421
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 10 a 14 años;348
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 100 y más años;15
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 15 a 19 años;368
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 20 a 24 años;706
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 25 a 29 años;1513
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 30 a 34 años;1707
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 35 a 39 años;1604
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 40 a 44 años;1357
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 45 a 49 años;1132
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 5 a 9 años;426
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 50 a 54 años;1087
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 55 a 59 años;1034
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 60 a 64 años;915
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 65 a 69 años;755
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 70 a 74 años;605
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 75 a 79 años;540
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 80 a 84 años;542
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 85 a 89 años;473
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 90 a 94 años;237
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 95 a 99 años;90
79;Madrid;79601;Centro;796016;Sol;Hombre;De 0 a 4 años;91
79;Madrid;79601;Centro;796016;Sol;Hombre;De 10 a 14 años;78
79;Madrid;79601;Centro;796016;Sol;Hombre;De 100 y más años;2
79;Madrid;79601;Centro;796016;Sol;Hombre;De 15 a 19 años;77
79;Madrid;79601;Centro;796016;Sol;Hombre;De 20 a 24 años;180
79;Madrid;79601;Centro;796016;Sol;Hombre;De 25 a 29 años;347
79;Madrid;79601;Centro;796016;Sol;Hombre;De 30 a 34 años;420
79;Madrid;79601;Centro;796016;Sol;Hombre;De 35 a 39 años;423
79;Madrid;79601;Centro;796016;Sol;Hombre;De 40 a 44 años;409
79;Madrid;79601;Centro;796016;Sol;Hombre;De 45 a 49 años;327
79;Madrid;79601;Centro;796016;Sol;Hombre;De 5 a 9 años;77
79;Madrid;79601;Centro;796016;Sol;Hombre;De 50 a 54 años;333
79;Madrid;79601;Centro;796016;Sol;Hombre;De 55 a 59 años;245
79;Madrid;79601;Centro;796016;Sol;Hombre;De 60 a 64 años;209
79;Madrid;79601;Centro;796016;Sol;Hombre;De 65 a 69 años;148
79;Madrid;79601;Centro;796016;Sol;Hombre;De 70 a 74 años;138
79;Madrid;79601;Centro;796016;Sol;Hombre;De 75 a 79 años;83
79;Madrid;79601;Centro;796016;Sol;Hombre;De 80 a 84 años;61
79;Madrid;79601;Centro;796016;Sol;Hombre;De 85 a 89 años;42
79;Madrid;79601;Centro;796016;Sol;Hombre;De 90 a 94 años;13
79;Madrid;79601;Centro;796016;Sol;Hombre;De 95 a 99 años;3
79;Madrid;79601;Centro;796016;Sol;Mujer;De 0 a 4 años;102
79;Madrid;79601;Centro;796016;Sol;Mujer;De 10 a 14 años;67
79;Madrid;79601;Centro;796016;Sol;Mujer;De 100 y más años;2
79;Madrid;79601;Centro;796016;Sol;Mujer;De 15 a 19 años;68
79;Madrid;79601;Centro;796016;Sol;Mujer;De 20 a 24 años;213
79;Madrid;79601;Centro;796016;Sol;Mujer;De 25 a 29 años;361
79;Madrid;79601;Centro;796016;Sol;Mujer;De 30 a 34 años;371
79;Madrid;79601;Centro;796016;Sol;Mujer;De 35 a 39 años;330
79;Madrid;79601;Centro;796016;Sol;Mujer;De 40 a 44 años;318
79;Madrid;79601;Centro;796016;Sol;Mujer;De 45 a 49 años;276
79;Madrid;79601;Centro;796016;Sol;Mujer;De 5 a 9 años;78
79;Madrid;79601;Centro;796016;Sol;Mujer;De 50 a 54 años;253
79;Madrid;79601;Centro;796016;Sol;Mujer;De 55 a 59 años;234
79;Madrid;79601;Centro;796016;Sol;Mujer;De 60 a 64 años;211
79;Madrid;79601;Centro;796016;Sol;Mujer;De 65 a 69 años;196
79;Madrid;79601;Centro;796016;Sol;Mujer;De 70 a 74 años;160
79;Madrid;79601;Centro;796016;Sol;Mujer;De 75 a 79 años;110
79;Madrid;79601;Centro;796016;Sol;Mujer;De 80 a 84 años;112
79;Madrid;79601;Centro;796016;Sol;Mujer;De 85 a 89 años;106
79;Madrid;79601;Centro;796016;Sol;Mujer;De 90 a 94 años;48
79;Madrid;79601;Centro;796016;Sol;Mujer;De 95 a 99 años;15
79;Madrid;79602;Arganzuela;796021;Imperial;Hombre;De 0 a 4 años;445
79;Madrid;79602;Arganzuela;796021;Imperial;Hombre;De 10 a 14 años;453
79;Madrid;79602;Arganzuela;796021;Imperial;Hombre;De 100 y más años;3
