municipio_codigo,municipio_nombre,poblacion_empadronada,rango_edad,sexo
4,Alamo (El),151,De 85 a 89 años,Mujer
4,Alamo (El),125,De 90 a 94 años,Mujer
4,Alamo (El),29,De 95 a 99 años,Mujer
4,Alamo (El),7,De 100 y más años,Mujer
5,Alcalá de Henares,4445,De 0 a 4 años,Hombre
5,Alcalá de Henares,5451,De 5 a 9 años,Hombre
5,Alcalá de Henares,5482,De 10 a 14 años,Hombre
5,Alcalá de Henares,4729,De 15 a 19 años,Hombre
5,Alcalá de Henares,4970,De 20 a 24 años,Hombre
5,Alcalá de Henares,5505,De 25 a 29 años,Hombre
5,Alcalá de Henares,6469,De 30 a 34 años,Hombre
5,Alcalá de Henares,8010,De 35 a 39 años,Hombre
5,Alcalá de Henares,9086,De 40 a 44 años,Hombre
5,Alcalá de Henares,8392,De 45 a 49 años,Hombre
5,Alcalá de Henares,6832,De 50 a 54 años,Hombre
5,Alcalá de Henares,5951,De 55 a 59 años,Hombre
5,Alcalá de Henares,5376,De 60 a 64 años,Hombre
5,Alcalá de Henares,4712,De 65 a 69 años,Hombre
5,Alcalá de Henares,3898,De 70 a 74 años,Hombre
5,Alcalá de Henares,2508,De 75 a 79 años,Hombre
5,Alcalá de Henares,1815,De 80 a 84 años,Hombre
5,Alcalá de Henares,858,De 85 a 89 años,Hombre
5,Alcalá de Henares,308,De 90 a 94 años,Hombre
5,Alcalá de Henares,66,De 95 a 99 años,Hombre
5,Alcalá de Henares,14,De 100 y más años,Hombre
5,Alcalá de Henares,4079,De 0 a 4 años,Mujer
5,Alcalá de Henares,5092,De 5 a 9 años,Mujer
5,Alcalá de Henares,5110,De 10 a 14 años,Mujer
5,Alcalá de Henares,4411,De 15 a 19 años,Mujer
5,Alcalá de Henares,5119,De 20 a 24 años,Mujer
5,Alcalá de Henares,5621,De 25 a 29 años,Mujer
5,Alcalá de Henares,6663,De 30 a 34 años,Mujer
5,Alcalá de Henares,7946,De 35 a 39 años,Mujer
5,Alcalá de Henares,8996,De 40 a 44 años,Mujer
5,Alcalá de Henares,8396,De 45 a 49 años,Mujer
5,Alcalá de Henares,7135,De 50 a 54 años,Mujer
5,Alcalá de Henares,6795,De 55 a 59 años,Mujer
5,Alcalá de Henares,6034,De 60 a 64 años,Mujer
5,Alcalá de Henares,5477,De 65 a 69 años,Mujer
5,Alcalá de Henares,4491,De 70 a 74 años,Mujer
5,Alcalá de Henares,3037,De 75 a 79 años,Mujer
5,Alcalá de Henares,2503,De 80 a 84 años,Mujer
5,Alcalá de Henares,1530,De 85 a 89 años,Mujer
5,Alcalá de Henares,763,De 90 a 94 años,Mujer
5,Alcalá de Henares,187,De 95 a 99 años,Mujer
5,Alcalá de Henares,48,De 100 y más años,Mujer
6,Alcobendas,3204,De 0 a 4 años,Hombre
6,Alcobendas,3454,De 5 a 9 años,Hombre
6,Alcobendas,3509,De 10 a 14 años,Hombre
6,Alcobendas,3120,De 15 a 19 años,Hombre
6,Alcobendas,3044,De 20 a 24 años,Hombre
6,Alcobendas,3163,De 25 a 29 años,Hombre
6,Alcobendas,3769,De 30 a 34 años,Hombre
6,Alcobendas,4758,De 35 a 39 años,Hombre
6,Alcobendas,5235,De 40 a 44 años,Hombre
6,Alcobendas,4449,De 45 a 49 años,Hombre
6,Alcobendas,4008,De 50 a 54 años,Hombre
6,Alcobendas,3042,De 55 a 59 años,Hombre
6,Alcobendas,2528,De 60 a 64 años,Hombre
6,Alcobendas,2765,De 65 a 69 años,Hombre
6,Alcobendas,2357,De 70 a 74 años,Hombre
6,Alcobendas,1356,De 75 a 79 años,Hombre
6,Alcobendas,855,De 80 a 84 años,Hombre
6,Alcobendas,417,De 85 a 89 años,Hombre
6,Alcobendas,146,De 90 a 94 años,Hombre
6,Alcobendas,22,De 95 a 99 años,Hombre
6,Alcobendas,5,De 100 y más años,Hombre
6,Alcobendas,2984,De 0 a 4 años,Mujer
6,Alcobendas,3275,De 5 a 9 años,Mujer
6,Alcobendas,3128,De 10 a 14 años,Mujer
6,Alcobendas,2920,De 15 a 19 años,Mujer
6,Alcobendas,3092,De 20 a 24 años,Mujer
6,Alcobendas,3351,De 25 a 29 años,Mujer
6,Alcobendas,4028,De 30 a 34 años,Mujer
6,Alcobendas,5087,De 35 a 39 años,Mujer
6,Alcobendas,5600,De 40 a 44 años,Mujer
6,Alcobendas,5069,De 45 a 49 años,Mujer
6,Alcobendas,4466,De 50 a 54 años,Mujer
6,Alcobendas,3524,De 55 a 59 años,Mujer
6,Alcobendas,3292,De 60 a 64 años,Mujer
6,Alcobendas,3356,De 65 a 69 años,Mujer
6,Alcobendas,2536,De 70 a 74 años,Mujer
6,Alcobendas,1527,De 75 a 79 años,Mujer
6,Alcobendas,1149,De 80 a 84 años,Mujer
6,Alcobendas,735,De 85 a 89 años,Mujer
6,Alcobendas,398,De 90 a 94 años,Mujer
6,Alcobendas,114,De 95 a 99 años,Mujer
6,Alcobendas,27,De 100 y más años,Mujer
7,Alcorcón,4074,De 0 a 4 años,Hombre
7,Alcorcón,4563,De 5 a 9 años,Hombre
7,Alcorcón,4638,De 10 a 14 años,Hombre
7,Alcorcón,3943,De 15 a 19 años,Hombre
7,Alcorcón,3418,De 20 a 24 años,Hombre
7,Alcorcón,3772,De 25 a 29 años,Hombre
7,Alcorcón,5002,De 30 a 34 años,Hombre
7,Alcorcón,7169,De 35 a 39 años,Hombre
7,Alcorcón,8461,De 40 a 44 años,Hombre
7,Alcorcón,7237,De 45 a 49 años,Hombre
7,Alcorcón,5478,De 50 a 54 años,Hombre
7,Alcorcón,4053,De 55 a 59 años,Hombre
7,Alcorcón,3588,De 60 a 64 años,Hombre
7,Alcorcón,4734,De 65 a 69 años,Hombre
7,Alcorcón,4870,De 70 a 74 años,Hombre
7,Alcorcón,3161,De 75 a 79 años,Hombre
7,Alcorcón,1896,De 80 a 84 años,Hombre
7,Alcorcón,825,De 85 a 89 años,Hombre
7,Alcorcón,278,De 90 a 94 años,Hombre
7,Alcorcón,65,De 95 a 99 años,Hombre
7,Alcorcón,10,De 100 y más años,Hombre
7,Alcorcón,3962,De 0 a 4 años,Mujer
7,Alcorcón,4399,De 5 a 9 años,Mujer
7,Alcorcón,4360,De 10 a 14 años,Mujer
7,Alcorcón,3676,De 15 a 19 años,Mujer
7,Alcorcón,3296,De 20 a 24 años,Mujer
7,Alcorcón,3760,De 25 a 29 años,Mujer
7,Alcorcón,5094,De 30 a 34 años,Mujer
7,Alcorcón,7191,De 35 a 39 años,Mujer
7,Alcorcón,8438,De 40 a 44 años,Mujer
7,Alcorcón,7436,De 45 a 49 años,Mujer
7,Alcorcón,5707,De 50 a 54 años,Mujer
7,Alcorcón,4460,De 55 a 59 años,Mujer
7,Alcorcón,4753,De 60 a 64 años,Mujer
7,Alcorcón,6191,De 65 a 69 años,Mujer
7,Alcorcón,5936,De 70 a 74 años,Mujer
7,Alcorcón,3448,De 75 a 79 años,Mujer
7,Alcorcón,2444,De 80 a 84 años,Mujer
7,Alcorcón,1403,De 85 a 89 años,Mujer
7,Alcorcón,682,De 90 a 94 años,Mujer
7,Alcorcón,233,De 95 a 99 años,Mujer
