municipio_codigo;municipio_nombre;distrito_codigo;distrito_nombre;barrio_codigo;barrio_nombre;sexo;rango_edad;numero_defunciones
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 90 a 94 años;14
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 95 a 99 años;7
79;Madrid;79601;Centro;796015;Universidad;Hombre;Mayores de 100 años;0
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 0 a 4 años;2
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 5 a 9 años;0
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 10 a 14 años;0
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 15 a 19 años;0
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 20 a 24 años;0
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 25 a 29 años;0
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 30 a 34 años;0
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 35 a 39 años;0
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 40 a 44 años;0
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 45 a 49 años;2
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 50 a 54 años;1
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 55 a 59 años;2
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 60 a 64 años;4
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 65 a 69 años;4
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 70 a 74 años;12
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 75 a 79 años;10
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 80 a 84 años;17
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 85 a 89 años;28
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 90 a 94 años;40
79;Madrid;79601;Centro;796015;Universidad;Mujer;De 95 a 99 años;23
79;Madrid;79601;Centro;796015;Universidad;Mujer;Mayores de 100 años;6
79;Madrid;79601;Centro;796016;Sol;Hombre;De 0 a 4 años;0
79;Madrid;79601;Centro;796016;Sol;Hombre;De 5 a 9 años;0
79;Madrid;79601;Centro;796016;Sol;Hombre;De 10 a 14 años;0
79;Madrid;79601;Centro;796016;Sol;Hombre;De 15 a 19 años;0
79;Madrid;79601;Centro;796016;Sol;Hombre;De 20 a 24 años;0
79;Madrid;79601;Centro;796016;Sol;Hombre;De 25 a 29 años;0
79;Madrid;79601;Centro;796016;Sol;Hombre;De 30 a 34 años;0
79;Madrid;79601;Centro;796016;Sol;Hombre;De 35 a 39 años;0
79;Madrid;79601;Centro;796016;Sol;Hombre;De 40 a 44 años;0
