municipio_codigo;municipio_nombre;sexo;rango_edad;poblacion_empadronada
10;Alpedrete;Hombre;De 40 a 44 años;711
10;Alpedrete;Hombre;De 45 a 49 años;786
10;Alpedrete;Hombre;De 50 a 54 años;636
10;Alpedrete;Hombre;De 55 a 59 años;432
10;Alpedrete;Hombre;De 60 a 64 años;324
10;Alpedrete;Hombre;De 65 a 69 años;228
10;Alpedrete;Hombre;De 70 a 74 años;210
10;Alpedrete;Hombre;De 75 a 79 años;149
10;Alpedrete;Hombre;De 80 a 84 años;99
10;Alpedrete;Hombre;De 85 a 89 años;48
10;Alpedrete;Hombre;De 90 a 94 años;14
10;Alpedrete;Hombre;De 95 a 99 años;2
10;Alpedrete;Hombre;De 100 y más años;1
10;Alpedrete;Mujer;De 0 a 4 años;318
10;Alpedrete;Mujer;De 5 a 9 años;517
10;Alpedrete;Mujer;De 10 a 14 años;530
10;Alpedrete;Mujer;De 15 a 19 años;439
10;Alpedrete;Mujer;De 20 a 24 años;351
10;Alpedrete;Mujer;De 25 a 29 años;328
10;Alpedrete;Mujer;De 30 a 34 años;318
10;Alpedrete;Mujer;De 35 a 39 años;525
10;Alpedrete;Mujer;De 40 a 44 años;792
10;Alpedrete;Mujer;De 45 a 49 años;787
10;Alpedrete;Mujer;De 50 a 54 años;616
10;Alpedrete;Mujer;De 55 a 59 años;417
10;Alpedrete;Mujer;De 60 a 64 años;294
10;Alpedrete;Mujer;De 65 a 69 años;265
10;Alpedrete;Mujer;De 70 a 74 años;266
10;Alpedrete;Mujer;De 75 a 79 años;188
10;Alpedrete;Mujer;De 80 a 84 años;129
10;Alpedrete;Mujer;De 85 a 89 años;119
10;Alpedrete;Mujer;De 90 a 94 años;43
10;Alpedrete;Mujer;De 95 a 99 años;17
10;Alpedrete;Mujer;De 100 y más años;1
11;Ambite;Hombre;De 0 a 4 años;18
11;Ambite;Hombre;De 5 a 9 años;15
11;Ambite;Hombre;De 10 a 14 años;17
11;Ambite;Hombre;De 15 a 19 años;12
11;Ambite;Hombre;De 20 a 24 años;21
11;Ambite;Hombre;De 25 a 29 años;29
